Name,Access,Notes,Region/City,Robots/ToS,Type,URL
Kudy z nudy (CzechTourism),API (rate-limited),Strong national coverage; official tourist board,CZ,,National aggregator,https://www.kudyznudy.cz/akce
Prague.eu – Events,Website,Multiple categories + large events,Praha,,City tourism portal,https://prague.eu/en/akce-kategorie/events/
GoOut.net – Česko,Website,Strong culture/venues coverage,CZ,,Aggregator + ticketing,https://goout.net/cs/cesko/akce/
Ticketportal.cz,Website,Nationwide ticketing marketplace,CZ,,Ticketing,https://www.ticketportal.cz/
Ticketmaster.cz,Website,Nationwide; formerly Ticketpro,CZ,,Ticketing,https://www.ticketmaster.cz/
Ticketstream.cz,Website,Nationwide ticketing,CZ,,Ticketing,https://www.ticketstream.cz/akce
TicketLIVE.cz,Website,Nationwide; categories for music/sport,CZ,,Ticketing,https://www.ticketlive.cz/cs
AkceDnes.cz,Website,Local listings; verify coverage,CZ,,Aggregator,https://www.akcednes.cz/
Informuji.cz – Akce,Website,Culture/events portal,CZ,,Aggregator,https://www.informuji.cz/akce/
Kultura.cz,Website,Culture/events portal,CZ,,Aggregator,https://www.kultura.cz/
Eventbrite – Prague,Website,International platform; many meetups,Praha,,Platform,https://www.eventbrite.com/d/czech-republic--prague/events/
Meetup – Prague,Website,Tech & community events,Praha,,Platform,https://www.meetup.com/cities/cz/prague/
GoToBrno.cz – Kalendář,Website,Official TIC Brno calendar,Brno,,City tourism portal,https://www.gotobrno.cz/kalendar-akci/
Visit Ostrava – Akce,Website,City DMO; verify structure,Ostrava,,City tourism portal,https://www.visitostrava.cz/akce/
Plzeň – Visit Plzeň – Akce,Website,City DMO,Plzeň,,City tourism portal,https://www.visitplzen.eu/akce/
Visit Brno (TIC BRNO),Website,Org page; events via GoToBrno,Brno,,City DMO,https://www.ticbrno.cz/
České Budějovice – Akce,Website,Municipal calendar,České Budějovice,,City portal,https://www.c-budejovice.cz/akce
Hradec Králové – Akce,Website,Municipal calendar (verify),Hradec Králové,,City portal,https://www.hradeckralove.org/akce
Pardubice – Kultura,Website,Municipal calendar (verify),Pardubice,,City portal,https://www.pardubice.eu/akce
Liberec – Kultura,Website,Tourism portal,Liberec,,City portal,https://www.visitliberec.eu/akce/
Ústí nad Labem – Akce,Website,Municipal calendar (verify),Ústí nad Labem,,City portal,https://www.usti-nad-labem.cz/akce/
Karlovy Vary – Events,Website,Tourism portal (EN/CZ),Karlovy Vary,,City portal,https://www.karlovyvary.cz/en/events
Olomouc – Akce,Website,Municipal calendar,Olomouc,,City portal,https://www.olomouc.eu/volny-cas/kalendar-akci
Zlín – Kalendar,Website,Municipal calendar,Zlín,,City portal,https://www.zlin.eu/akce
Jihlava – Akce,Website,Municipal calendar,Jihlava,,City portal,https://www.jihlava.cz/akce
